mock_id,about.location,about.primary_currency,about.status,about.timezone
10,"{u'administrative_area': None, u'city': u'Belo Horizonte', u'country': {u'highres_flag_url': u'/img/flags/highres_png/brazil.png', u'code': u'br', u'name': u'Brazil', u'seo_url': None, u'flag_url_cdn': u'//cdn2.f-cdn.com/img/flags/png/br.png', u'highres_flag_url_cdn': u'//cdn5.f-cdn.com/img/flags/highres_png/brazil.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/br.png', u'flag_class': u'brazil', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'BRL', u'name': u'Brazilian Real', u'country': u'BR', u'sign': u'R$', u'exchange_rate': 0.303476, u'id': 20}","{u'payment_verified': True, u'identity_verified': True, u'email_verified': True, u'deposit_made': True, u'phone_verified': True, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'BR', u'offset': -3, u'id': 134, u'timezone': u'America/Sao_Paulo'}"
11,"{u'administrative_area': None, u'city': u'Chuluota', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-states.png', u'code': u'us', u'name': u'United States', u'seo_url': None, u'flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/png/us.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/united-states.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/us.png', u'flag_class': u'united-states', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'US', u'offset': -4, u'id': 120, u'timezone': u'America/New_York'}"
12,"{u'administrative_area': None, u'city': u'London', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-kingdom.png', u'code': u'gb', u'name': u'United Kingdom', u'seo_url': None, u'flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/png/gb.png', u'highres_flag_url_cdn': u'//cdn5.f-cdn.com/img/flags/highres_png/united-kingdom.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/gb.png', u'flag_class': u'united-kingdom', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': True, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'UK', u'offset': 1, u'id': 262, u'timezone': u'Europe/London'}"
13,"{u'administrative_area': None, u'city': u'Penrith', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-kingdom.png', u'code': u'gb', u'name': u'United Kingdom', u'seo_url': None, u'flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/png/gb.png', u'highres_flag_url_cdn': u'//cdn5.f-cdn.com/img/flags/highres_png/united-kingdom.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/gb.png', u'flag_class': u'united-kingdom', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'UK', u'offset': 1, u'id': 262, u'timezone': u'Europe/London'}"
14,"{u'administrative_area': None, u'city': u'Gan Yavne', u'country': {u'highres_flag_url': u'/img/flags/highres_png/israel.png', u'code': u'il', u'name': u'Israel', u'seo_url': None, u'flag_url_cdn': u'//cdn2.f-cdn.com/img/flags/png/il.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/israel.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/il.png', u'flag_class': u'israel', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': True, u'identity_verified': False, u'email_verified': True, u'deposit_made': True, u'phone_verified': True, u'facebook_connected': False, u'profile_complete': False}","{u'country': u'IL', u'offset': 3, u'id': 180, u'timezone': u'Asia/Jerusalem'}"
15,"{u'administrative_area': None, u'city': u'Cebu City', u'country': {u'highres_flag_url': u'/img/flags/highres_png/philippines.png', u'code': u'ph', u'name': u'Philippines', u'seo_url': None, u'flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/png/ph.png', u'highres_flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/highres_png/philippines.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/ph.png', u'flag_class': u'philippines', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': False, u'facebook_connected': True, u'profile_complete': True}","{u'country': u'PH', u'offset': 8, u'id': 192, u'timezone': u'Asia/Manila'}"
16,"{u'administrative_area': None, u'city': u'Cedar City', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-states.png', u'code': u'us', u'name': u'United States', u'seo_url': None, u'flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/png/us.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/united-states.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/us.png', u'flag_class': u'united-states', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': True, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'US', u'offset': -5, u'id': 81, u'timezone': u'America/Chicago'}"
17,"{u'administrative_area': None, u'city': u'Hyderabad', u'country': {u'highres_flag_url': u'/img/flags/highres_png/india.png', u'code': u'in', u'name': u'India', u'seo_url': None, u'flag_url_cdn': u'//cdn2.f-cdn.com/img/flags/png/in.png', u'highres_flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/highres_png/india.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/in.png', u'flag_class': u'india', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': True, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': True, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'IN', u'offset': 5.5, u'id': 164, u'timezone': u'Asia/Calcutta'}"
18,"{u'administrative_area': None, u'city': u'Pune', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-states.png', u'code': u'us', u'name': u'United States', u'seo_url': None, u'flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/png/us.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/united-states.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/us.png', u'flag_class': u'united-states', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'US', u'offset': -5, u'id': 81, u'timezone': u'America/Chicago'}"
19,"{u'administrative_area': None, u'city': u'Johns Creek', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-states.png', u'code': u'us', u'name': u'United States', u'seo_url': None, u'flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/png/us.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/united-states.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/us.png', u'flag_class': u'united-states', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': True, u'identity_verified': False, u'email_verified': True, u'deposit_made': True, u'phone_verified': True, u'facebook_connected': True, u'profile_complete': True}","{u'country': u'US', u'offset': -4, u'id': 120, u'timezone': u'America/New_York'}"
